[1868] 15:14:12.336 D -                IDMRoleMenuController(33) [          http-nio-8005-exec-8] [-2051930398914755281] : [preInvoke] - [79869d23-8dc5-4d35-8cf4-1902623c82f7] - IDMRoleMenuSC#searchMenu({action=SEARCH, loginId=UNIT1MAKER, menuCode=MNU_GPCASH_IDM_ROLE_MENU, appCode=GPCASHBO})
[1868] 15:14:12.379 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.384 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_SUPPORT
[1868] 15:14:12.384 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.387 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_SYSTEM_MANAGEMENT
[1868] 15:14:12.388 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.392 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_MT
[1868] 15:14:12.392 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.405 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_BNK_REPORT
[1868] 15:14:12.405 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.412 D -               IDMMenuTreeServiceImpl(47) [            ServerThreadPool-1] [-2051930398914755281] : parentmenu MNU_GPCASH_BO_RPT_CUST
[1868] 15:14:12.419 D -           IDMMenuTreeRepositoryImpl(111) [            ServerThreadPool-1] [-2051930398914755281] : order : [idx: ASC]
[1868] 15:14:12.429 D -               IDMRoleMenuController(156) [            ServerThreadPool-1] [-2051930398914755281] : onSuccess : {result=[{menuCode=MNU_GPCASH_PENDING_TASK, menuName=Ongoing Task, parentMenuName=, parentMenuCode=}, {menuCode=MNU_GPCASH_IDM_USER, menuName=User Identification, parentMenuName=User Maintenance, parentMenuCode=MNU_GPCASH_PARENT_USER_MT}, {menuCode=MNU_GPCASH_IDM_ROLE, menuName=Role Configuration, parentMenuName=User Maintenance, parentMenuCode=MNU_GPCASH_PARENT_USER_MT}, {menuCode=MNU_GPCASH_IDM_USER_MANAGER, menuName=User Manager, parentMenuName=User Maintenance, parentMenuCode=MNU_GPCASH_PARENT_USER_MT}, {menuCode=MNU_GPCASH_PRO_MNU_PC, menuName=Menu Setup, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_PRO_LMT_PC, menuName=Limit Setup, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_PRO_CH_PC, menuName=Fee Setup, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_PRO_SRVC_PC, menuName=Service Setup, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_PRO_LMT_UPDATE, menuName=Limit Updates, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_PRO_CH_UPDATE, menuName=Fee Updates, parentMenuName=Product Setup, parentMenuCode=MNU_GPCASH_PRO_SETUP}, {menuCode=MNU_GPCASH_CORP, menuName=Corporate Maintenance, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_CORP_ACCT, menuName=Corporate Account, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_AUTH_DEVICE, menuName=Authentication Device, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_MT_GRANT_DEBIT, menuName=Grant Debit, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_CHQ_STS, menuName=Cheque Status, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_CORP_VA, menuName=Virtual Account, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_MT_UNDERLYING_DOC, menuName=Underlying Document, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_INT_STS, menuName=International Transfer Status, parentMenuName=Customer Management, parentMenuCode=MNU_GPCASH_CUST_MANAGEMENT}, {menuCode=MNU_GPCASH_BANK_TRX_LMT, menuName=Bank Global Limit, parentMenuName=Transaction Management, parentMenuCode=MNU_GPCASH_TRX_MANAGEMENT}, {menuCode=MNU_GPCASH_CORP_LMT_PC_DTL, menuName=Transaction Limit, parentMenuName=Transaction Management, parentMenuCode=MNU_GPCASH_TRX_MANAGEMENT}, {menuCode=MNU_GPCASH_CORP_CH_PC_DTL, menuName=Transaction Fee, parentMenuName=Transaction Management, parentMenuCode=MNU_GPCASH_TRX_MANAGEMENT}, {menuCode=MNU_GPCASH_TAX_NTPN_INQ, menuName=NTPN Inquiry, parentMenuName=Transaction Management, parentMenuCode=MNU_GPCASH_TRX_MANAGEMENT}, {menuCode=MNU_GPCASH_BANK_FOREX_LMT, menuName=Bank Forex Limit, parentMenuName=Transaction Management, parentMenuCode=MNU_GPCASH_TRX_MANAGEMENT}, {menuCode=MNU_GPCASH_IDM_USER_MANAGER_CORP, menuName=Corporate User Manager, parentMenuName=Customer Support, parentMenuCode=MNU_GPCASH_SUPPORT}, {menuCode=MNU_GPCASH_MT_SYS_PARAM, menuName=System Parameter, parentMenuName=System Management, parentMenuCode=MNU_GPCASH_SYSTEM_MANAGEMENT}, {menuCode=MNU_GPCASH_COT, menuName=System Cut Off Time, parentMenuName=System Management, parentMenuCode=MNU_GPCASH_SYSTEM_MANAGEMENT}, {menuCode=MNU_GPCASH_SCHEDULER, menuName=Scheduler, parentMenuName=System Management, parentMenuCode=MNU_GPCASH_SYSTEM_MANAGEMENT}, {menuCode=MNU_GPCASH_MT_PARAMETER, menuName=Parameter Maintenance, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_HOST_ERROR_MAPPING, menuName=Host Error Mapping, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_DOM_BANK, menuName=Domestic Bank, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_INT_BANK, menuName=International Bank, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_BRANCH, menuName=Branch, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_CALENDAR, menuName=Calendar Engine, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_EXCHANGE_RATE, menuName=Exchange Rate, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_INTEREST_RATE, menuName=Interest Rate, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_TAX_DEPOSIT_TYP, menuName=Deposit Type, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_MT_PREPAID_DENOM, menuName=Prepaid Denomination, parentMenuName=Common Parameters, parentMenuCode=MNU_GPCASH_MT}, {menuCode=MNU_GPCASH_LOG_ACTV, menuName=Bank Activity Log, parentMenuName=Administration Report, parentMenuCode=MNU_GPCASH_BNK_REPORT}, {menuCode=MNU_GPCASH_BO_RPT_CORP_REGIS, menuName=Corporate Registration Report, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_CHG, menuName=Charging Report, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_TRX_STS, menuName=Transaction Status, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_CORP_NON_FIN, menuName=Corporate Non Financial Activity, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_CHQ_ORDER, menuName=Cheque Order Report, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_TRX_SUMMARY, menuName=Transaction Summary, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}, {menuCode=MNU_GPCASH_BO_RPT_DOM_TRX, menuName=Domestic Transfer Report, parentMenuName=Customer Report, parentMenuCode=MNU_GPCASH_BO_RPT_CUST}]}
[1868] 15:14:12.430 D -                        QueueInvoker(201) [            ServerThreadPool-1] [-2051930398914755281] : Execution Time: 88 ms
